course_id;course_item_id;tsu_user_id;course_progress_state_type_id;course_progress_ts
"81";"10459";"4252";1;2021-10-19 17:47:30.000
"81";"6375";"75289";1;2022-08-22 20:23:34.000
"81";"6375";"72236";1;2022-04-23 21:50:03.000
"81";"6476";"72236";1;2022-04-23 21:54:18.000
"81";"6023";"72236";1;2022-04-23 21:49:22.000
"81";"4785";"72236";1;2022-04-23 21:49:44.000
"81";"6375";"81957";1;2023-01-09 13:18:33.000
"81";"6375";"81957";1;2023-01-12 15:21:01.000
"81";"6375";"81957";1;2023-01-12 15:21:32.000
"81";"6376";"81957";1;2023-01-09 13:30:26.000
"81";"6376";"81957";1;2023-01-12 15:21:35.000
"81";"6429";"81957";1;2023-01-09 15:04:46.000
"81";"6429";"81957";1;2023-01-12 15:21:39.000
"81";"6430";"81957";1;2023-01-09 15:19:22.000
"81";"6430";"81957";1;2023-01-12 15:21:48.000
"81";"6430";"81957";1;2023-01-12 15:23:27.000
"81";"6430";"81957";1;2023-01-12 19:16:01.000
"81";"6464";"81957";1;2023-01-12 15:21:52.000
"81";"6464";"81957";1;2023-01-12 19:22:35.000
"81";"6465";"81957";1;2023-01-12 19:38:28.000
"81";"6499";"81957";1;2023-01-12 19:46:39.000
"81";"6500";"81957";1;2023-01-12 20:04:58.000
"81";"6388";"81957";1;2023-01-12 20:05:04.000
"81";"6388";"81957";1;2023-01-12 20:05:14.000
"81";"6388";"81957";1;2023-01-12 20:05:14.000
"81";"6388";"81957";1;2023-01-12 20:05:47.000
"81";"6388";"81957";1;2023-01-12 20:08:26.000
"81";"6388";"81957";1;2023-01-12 20:12:46.000
"81";"6388";"81957";1;2023-01-12 20:14:49.000
"81";"6388";"81957";1;2023-01-12 20:16:22.000
"81";"6388";"81957";1;2023-01-12 20:21:52.000
"81";"6388";"81957";1;2023-01-12 20:23:42.000
"81";"6388";"81957";1;2023-01-12 20:26:05.000
"81";"6388";"81957";1;2023-01-12 20:27:20.000
"81";"6388";"81957";1;2023-01-12 20:29:30.000
"81";"6388";"81957";1;2023-01-12 20:32:52.000
"81";"6388";"81957";1;2023-01-12 20:33:02.000
"81";"6388";"81957";1;2023-01-12 20:33:10.000
"81";"6476";"81957";1;2023-01-12 20:35:45.000
"81";"6082";"81957";1;2023-01-12 20:35:51.000
"81";"6082";"81957";2;2023-01-12 20:35:51.000
"81";"6082";"81957";1;2023-01-13 12:43:11.000
"81";"6083";"81957";1;2023-01-13 13:01:26.000
"81";"6083";"81957";2;2023-01-13 13:01:26.000
"81";"6083";"81957";1;2023-01-17 21:14:50.000
"81";"6084";"81957";1;2023-01-13 13:34:20.000
"81";"6084";"81957";2;2023-01-13 13:34:20.000
"81";"6084";"81957";1;2023-01-17 21:14:47.000
"81";"6098";"81957";1;2023-01-13 14:02:15.000
"81";"6098";"81957";2;2023-01-13 14:02:15.000
"81";"6098";"81957";1;2023-01-13 16:46:35.000
