id;courseid;type;name
6942;99;resource;Тема 1.4.1. Логические операции (ПРЕЗЕНТАЦИЯ)
6997;99;resource;Тема 1.4.1. Логические операции (ТЕКСТ ЛЕКЦИИ)
8702;99;videofile;Тема 1.4.2. Логические элементы (ВИДЕО)
6946;99;quiz;Тема 1.4.2. Логические элементы (ТЕСТ)
6943;99;resource;Тема 1.4.2. Логические элементы (ПРЕЗЕНТАЦИЯ)
6998;99;resource;Тема 1.4.2. Логические элементы (ТЕКСТ ЛЕКЦИИ)
6558;99;label;Тема 1.5. Основные операции с данными
8703;99;videofile;Тема 1.5.1. Виды основных операций с данными. Хранение данных (ВИДЕО)
8656;99;quiz;Тема 1.5.1. Виды основных операций с данными. Хранение данных (ТЕСТ)
6947;99;resource;Тема 1.5.1. Виды основных операций с данными. Хранение данных (ПРЕЗЕНТАЦИЯ)
7107;99;resource;Тема 1.5.1. Виды основных операций с данными. Хранение данных (ТЕКСТ ЛЕКЦИИ)
8704;99;videofile;Тема 1.5.2. Кодирование числовых и текстовых данных (ВИДЕО)
7068;99;quiz;Тема 1.5.2. Кодирование числовых и текстовых данных (ТЕСТ)
7067;99;resource;Тема 1.5.2. Кодирование числовых и текстовых данных (ПРЕЗЕНТАЦИЯ)
7495;99;resource;Тема 1.5.2. Кодирование числовых и текстовых данных (ТЕКСТ ЛЕКЦИИ)
9381;99;label;Тема 1.5. Основные операции с данными (продолжение...
8762;99;videofile;Тема 1.5.3. Кодирование графики (ВИДЕО)
8400;99;quiz;Тема 1.5.3. Кодирование графики (ТЕСТ)
8399;99;resource;Тема 1.5.3. Кодирование графики (ПРЕЗЕНТАЦИЯ)
8712;99;resource;Тема 1.5.3. Кодирование графики (ТЕКСТ ЛЕКЦИИ)
8763;99;videofile;Тема 1.5.4. Кодирование мультимедиа (ВИДЕО)
7076;99;quiz;Тема 1.5.4. Кодирование мультимедиа (ТЕСТ)
7075;99;resource;Тема 1.5.4. Кодирование мультимедиа (ПРЕЗЕНТАЦИЯ)
8718;99;resource;Тема 1.5.4. Кодирование мультимедиа (ТЕКСТ ЛЕКЦИИ)
10189;99;label;============== КОНТРОЛЬ ==============
6439;99;folder;Лекционные материалы (презентации)
6438;99;folder;Конспект лекций
6563;99;label;2.1.  История, тенденции и перспективы развития вы...
9134;99;videofile;Тема 2.1.1. История развития вычислительной техники (ВИДЕО)
6937;99;quiz;Тема 2.1.1. История развития вычислительной техники (ТЕСТ)
6586;99;resource;Тема 2.1.1. История развития вычислительной техники (ПРЕЗЕНТАЦИЯ)
6589;99;resource;Тема 2.1.1. История развития вычислительной техники (ТЕКСТ ЛЕКЦИИ)
9356;99;resource;История развития вычислительной техники
9141;99;videofile;Тема 2.1.2. Поколения компьютеров (ВИДЕО)
6941;99;quiz;Тема 2.1.2. Поколения компьютеров (ТЕСТ)
6587;99;resource;Тема 2.1.2. Поколения компьютеров (ПРЕЗЕНТАЦИЯ)
6590;99;resource;Тема 2.1.2. Поколения компьютеров (ТЕКСТ ЛЕКЦИИ)
9357;99;resource;2.1.2. Поколения ЭВМ. Отечественная ВТ. Текст.
9380;99;label;2.1. История, тенденции и перспективы развития выч...
9142;99;videofile;Тема 2.1.3. Законы развития вычислительной техники (ВИДЕО)
6950;99;quiz;Тема 2.1.3. Законы развития вычислительной техники (ТЕСТ)
6588;99;resource;Тема 2.1.3. Законы развития вычислительной техники (ПРЕЗЕНТАЦИЯ)
6899;99;resource;Тема 2.1.3. Законы развития вычислительной техники (ТЕКСТ ЛЕКЦИИ)
9358;99;resource;2.1.3. Законы развития вычислительной техники
9143;99;videofile;Тема  2.1.4. Перспективы развития вычислительной техники (ВИДЕО)
7066;99;quiz;Тема 2.1.4. Перспективы развития вычислительной техники (ТЕСТ)
6898;99;resource;Тема 2.1.4. Перспективы развития вычислительной техники (ПРЕЗЕНТАЦИЯ)
6591;99;resource;Тема 2.1.4. Перспективы развития вычислительной техники (ТЕКСТ ЛЕКЦИИ)
9359;99;resource;2.1.4. Перспективы развития вычислительной техники. Текст.
6564;99;label;2.2.  Устройствои принципы работы компьютеров
9135;99;videofile;Тема 2.2.1. Принципы работы вычислительной системы (ВИДЕО)
7074;99;quiz;Тема 2.2.1. Принципы работы вычислительной системы (ТЕСТ)
6675;99;resource;Тема 2.2.1. Принципы работы вычислительной системы (ПРЕЗЕНТАЦИЯ)
6676;99;resource;Тема 2.2.1. Принципы работы вычислительной системы (ТЕКСТ ЛЕКЦИИ)
9360;99;resource;Тема 2.2.1. Принципы работы вычислительной системы. Текст.
9136;99;videofile;Тема 2.2.2. Классификация компьютеров (ВИДЕО)
7127;99;quiz;Тема 2.2.2. Классификация компьютеров (ТЕСТ)
6756;99;resource;Тема 2.2.2. Классификация компьютеров (ПРЕЗЕНТАЦИЯ)
6757;99;resource;Тема 2.2.2. Классификация компьютеров (ТЕКСТ ЛЕКЦИИ)
9361;99;resource;Тема 2.2.2. Классификация средств вычислительной техники. Текст.
9382;99;label;2.2. Устройствои принципы работы компьютеров (пр...
9144;99;videofile; Тема 2.2.3. Состав персонального компьютера. Часть 1 (ВИДЕО)
9145;99;videofile; Тема 2.2.3. Состав персонального компьютера. Часть 2 (ВИДЕО)
7159;99;quiz;Тема 2.2.3. Состав персонального компьютера (ТЕСТ)
6762;99;resource;Тема 2.2.3. Состав персонального компьютера (ПРЕЗЕНТАЦИЯ)
6763;99;resource;Тема 2.2.3. Состав персонального компьютера (ТЕКСТ ЛЕКЦИИ)
9362;99;resource;Тема 2.2.3. Состав персонального компьютера. Текст.
9146;99;videofile;Тема 2.2.4. Устройства ввода-вывода данных. Ввод (ВИДЕО)
9147;99;videofile;Тема 2.2.4. Устройства ввода-вывода данных. Вывод (ВИДЕО)
7205;99;quiz;Тема 2.2.4. Устройства ввода и вывода данных (ТЕСТ)
6849;99;resource;Тема 2.2.4. Устройства ввода-вывода данных (ПРЕЗЕНТАЦИЯ)
6850;99;resource;Тема 2.2.4. Устройства ввода-вывода данных (ТЕКСТ ЛЕКЦИИ)
9363;99;resource;Тема 2.2.4. Устройства ввода-вывода данных. Текст.
10190;99;label;============== КОНТРОЛЬ ==============
6565;99;label;3. Классификация программного обеспечения
8764;99;videofile;Тема 3.1. Общие сведения о классификации ПО. 3.2. Системное ПО (ВИДЕО)
26583;99;url;Тема 3.1. Общие сведения о классификации ПО. 3.2. Системное ПО (Видеолекция)
8596;99;resource;Тема 3.1. Общие сведения о классификации ПО.  3.2. Системное ПО (ПРЕЗЕНТАЦИЯ)
10117;99;quiz;Тема 3.1. Общие сведения о классификации ПО.  3.2. Системное ПО (ТЕСТ)
8765;99;videofile;Тема 3.3. Прикладные программы (ВИДЕО)
26584;99;url;Тема 3.3. Прикладные программы (Видеолекция)
8627;99;resource;Тема 3.3. Прикладные программы (ПРЕЗЕНТАЦИЯ)
10118;99;quiz;Тема 3.3. Прикладные программы (ТЕСТ)
8918;99;videofile;Тема 3.4. Инструментальное ПО (ВИДЕО)
26585;99;url;Тема 3.4. Инструментальное ПО (Видеолекция)
8714;99;resource;Тема 3.4. Инструментальное ПО (ПРЕЗЕНТАЦИЯ)
10119;99;quiz;Тема 3.4. Инструментальное ПО (ТЕСТ)
9250;99;resource;Тема 3. Классификация ПО (ТЕКСТ ЛЕКЦИИ)
9178;99;resource;Тема 3. Классификация ПО (ТЕКСТ ЛЕКЦИИ)
10191;99;label;============== КОНТРОЛЬ ==============
6538;99;resource;Структура раздела
6952;99;label;4.1. Основы алгоритмизации и программирования
9278;99;videofile;Тема 4.1.1. Алгоритм и способы его описания (ВИДЕО)
9279;99;videofile;Тема 4.1.2. Базовые алгоритмические структуры и сложность алгоритмов (ВИДЕО)
7101;99;quiz;Тема 4.1. Основы алгоритмизации и программирования (ТЕСТ)
9032;99;resource;Тема 4.1. Основы алгоритмизации и программирования (ПРЕЗЕНТАЦИЯ)
7054;99;resource;Тема 4.1. Основы алгоритмизации и программирования (ТЕКСТ ЛЕКЦИИ)
8811;99;videofile;Урок 0.1
8756;99;videofile;Урок 0.2
7100;99;resource;Тема 4.1. Основы алгоритмизации и программирования (ПРЕЗЕНТАЦИЯ)
7055;99;resource;Тема 4.1. Основы алгоритмизации и программирования (ТЕКСТ ЛЕКЦИИ)
6953;99;label;4.2. Введение в JavaScript
8955;99;videofile;Тема 4.2. Введение в JavaScript. Часть 1 (ВИДЕО)
8956;99;videofile;Тема 4.2. Введение в JavaScript. Часть 2 (ВИДЕО)
6982;99;quiz;Тема 4.2. Введение в JavaScript (ТЕСТ)
7476;99;resource;Тема 4.2. Введение в JavaScript (ПРЕЗЕНТАЦИЯ)
6964;99;resource;Тема 4.2. Введение в JavaScript (ТЕКСТ ЛЕКЦИИ)
8795;99;resource;Тема 4.2. Введение в JavaScript (ПРЕЗЕНТАЦИЯ)
6963;99;resource;Тема 4.2. Введение в JavaScript (ТЕКСТ ЛЕКЦИИ)
10192;99;label;============== КОНТРОЛЬ ==============
6954;99;label;4.3. Инструментарий для разработки на JavaScript. ...
8814;99;videofile;Урок 2.1
8815;99;videofile;Урок 2.2
8794;99;resource;Лекция 2. Инструментарий разработки на JavaScript
8793;99;resource;Лекция 2. Инструментарий разработки на JavaScript
8710;99;resource;Лекция 2. Инструментарий разработки на JavaScript
8709;99;resource;Лекция 2. Инструментарий разработки на JavaScript
8805;99;quiz;Тест 4.2. Инструментарий разработки на JavaScript
9150;99;resource;Лабораторная работа №1. Введение в JavaScript
8919;99;videofile;Тема 5.1. Введение в базы данных (ВИДЕО)
9387;99;quiz;Тема 5.1. Введение в базы данных (ТЕСТ)
7108;99;resource;Тема 5.1. Введение в базы данных (ПРЕЗЕНТАЦИЯ)
8920;99;videofile;Тема 5.2. Реляционная модель данных (ВИДЕО)
9388;99;quiz;Тема 5.2. Реляционная модель данных (ТЕСТ)
8624;99;resource;Тема 5.2. Реляционная модель данных (ПРЕЗЕНТАЦИЯ)
8957;99;videofile;Тема 5.3. Основные объекты реляционных баз данных (ВИДЕО)
9389;99;quiz;Тема 5.3. Основные объекты реляционных баз данных (ТЕСТ)
8625;99;resource;Тема 5.3. Основные объекты реляционных баз данных (ПРЕЗЕНТАЦИЯ)
8950;99;resource;5. Базы данных (ТЕКСТ ЛЕКЦИИ)
8951;99;resource;5. Базы данных (ТЕКСТ ЛЕКЦИИ)
10193;99;label;============== КОНТРОЛЬ ==============
6747;99;videofile;Тема 6.1. Принципы построения и функционирования компьютерных сетей (ВИДЕО)
27308;99;url;Тема 6.1. Принципы построения и функционирования компьютерных сетей (Видеолекция)
6734;99;quiz;Тема 6.1. Принципы построения и функционирования компьютерных сетей (ТЕСТ)
6745;99;resource;Тема 6.1. Принципы построения и функционирования компьютерных сетей (ПРЕЗЕНТАЦИЯ)
7052;99;resource;Тема 6.1. Принципы построения и функционирования компьютерных сетей (ТЕКСТ ЛЕКЦИИ)
6746;99;resource;Тема 6.1. Принципы построения и функционирования компьютерных сетей (ТЕКСТ ЛЕКЦИИ)
8557;99;videofile;Тема 6.2. Адресация в компьютерных сетях и в интернете (ВИДЕО)
27309;99;url;Тема 6.2.1 Адресация в компьютерных сетях и в интернете (Видеолекция)
27310;99;url;Тема 6.2.2 Методы решения сетевых задач (Видеолекция)
6735;99;quiz;Тема 6.2. Адресация в компьютерных сетях и в интернете (ТЕСТ)
7086;99;resource;Тема 6.2. Адресация в компьютерных сетях и в интернете (ПРЕЗЕНТАЦИЯ)
7087;99;resource;Тема 6.2. Адресация в компьютерных сетях и в интернете (ТЕКСТ ЛЕКЦИИ)
7088;99;resource;Тема 6.2. Адресация в компьютерных сетях и в интернете (ТЕКСТ ЛЕКЦИИ)
8579;99;videofile;Тема 6.3. Службы сети Интернет. Сетевая коммерция. Правовые вопросы (ВИДЕО)
27311;99;url;Тема 6.3. Службы сети Интернет. Сетевая коммерция. Правовые вопросы (Видеолекция)
6736;99;quiz;Тема 6.3. Службы сети Интернет. Сетевая коммерция. Правовые вопросы (ТЕСТ))
8437;99;resource;Тема 6.3. Службы сети Интернет. Сетевая коммерция. Правовые вопросы (ПРЕЗЕНТАЦИЯ)
8438;99;resource;Тема 6.3. Службы сети Интернет. Сетевая коммерция. Правовые вопросы (ТЕКСТ ЛЕКЦИИ)
9364;99;resource;Тема 6.3. Службы сети Интернет. Сетевая коммерция. Правовые вопросы (ТЕКСТ ЛЕКЦИИ)
10194;99;label;============== КОНТРОЛЬ ==============
8958;99;videofile; Тема 7.1. Введение в информационную безопасность (ВИДЕО)
26586;99;url;Тема 7.1. Введение в информационную безопасность (Видеолекция)
10132;99;quiz;Тема 7.1. Введение в информационную безопасность (ТЕСТ)
8757;99;resource;Тема 7.1. Введение в информационную безопасность (ПРЕЗЕНТАЦИЯ)
8959;99;videofile;Тема 7.2. Методы защиты информации (ВИДЕО)
26587;99;url;Тема 7.2. Методы защиты информации (Видеолекция)
10133;99;quiz;Тема 7.2. Методы защиты информации (ТЕСТ)
8758;99;resource;Тема 7.2. Методы защиты информации (ПРЕЗЕНТАЦИЯ)
8960;99;videofile;Тема 7.3. Антивирусная защита (ВИДЕО)
26588;99;url;Тема 7.3. Антивирусная защита (Видеолекция)
10134;99;quiz;Тема 7.3. Антивирусная защита (ТЕСТ)
8769;99;resource;Тема 7.3. Антивирусная защита (ПРЕЗЕНТАЦИЯ)
9260;99;resource;7. Основы защиты информации (ТЕКСТ ЛЕКЦИИ)
9259;99;resource;7. Основы защиты информации (ТЕКСТ ЛЕКЦИИ)
9257;99;quiz;Итоговый тест по всем разделам курса
36257;99;quiz;Итоговый тест (НГТУ)
10121;99;quiz;1. Теоретические основы информатики (ИТОГОВЫЙ ТЕСТ РАЗДЕЛА)
10120;99;quiz;2. Технические средства реализации информационных процессов (ИТОГОВЫЙ ТЕСТ РАЗДЕЛА)
6940;99;quiz;3. Программные средства реализации информационных процессов (ИТОГОВЫЙ ТЕСТ РАЗДЕЛА)
10116;99;quiz;4. Алгоритмизации и программирования (ИТОГОВЫЙ ТЕСТ РАЗДЕЛА)
9386;99;quiz;5. Базы данных (ИТОГОВЫЙ ТЕСТ РАЗДЕЛА)
10115;99;quiz;6. Компьютерные сети (ИТОГОВЫЙ ТЕСТ РАЗДЕЛА)
6702;99;quiz;7. Основы защиты информации (ИТОГОВЫЙ ТЕСТ РАЗДЕЛА)
9676;99;quiz;Итоговый тест модуля 1 (разделы 1-4)
9677;99;quiz;Итоговый тест модуля 2 (разделы 5-7)
10329;99;quiz;Итоговый тест (Политехник)
6955;99;label;4.4. Лексическая структура, переменные и типы данн...
8692;99;videofile;Урок 3.1
8711;99;videofile;Урок 3.2
8584;99;resource;Урок 3. Лексическая структура, переменные и типы данных 
7069;99;resource;Урок 3. Лексическая структура, переменные и типы данных
6966;99;resource;Лекция 3. Лексическая структура, переменные и типы данных
6965;99;resource;Лекция 3. Лексическая структура, переменные и типы данных
6989;99;quiz;Тест 4.3. Лексическая структура, переменные и типы данных
6956;99;label;4.5. Операторы
8961;99;videofile;Урок 4.1
8962;99;videofile;Урок 4.2
7070;99;resource;Урок 4. Операторы
8796;99;resource;Урок 4. Операторы
6967;99;resource;Лекция 4. Операторы
6968;99;resource;Лекция 4. Операторы
8667;99;quiz;Тест 4.4. Операторы
6957;99;label;4.6. Утверждения
8995;99;videofile;Урок 5.1
9016;99;videofile;Урок 5.2
7072;99;resource;Урок 5. Утверждения
8799;99;resource;Урок 5. Утверждения
6970;99;resource;Лекция 5. Утверждения
6969;99;resource;Лекция 5. Утверждения
6990;99;quiz;Тест 4.5. Утверждения
6958;99;label;4.7. Объекты и массивы
8877;99;videofile;Урок 6.1
9128;99;videofile;Урок 6.2
9129;99;videofile;Урок 6.3
7157;99;resource;Урок 6. Объекты и массивы
8798;99;resource;Урок 6. Объекты и массивы
6972;99;resource;Лекция 6. Объекты и массивы
6971;99;resource;Лекция 6. Объекты и массивы
6991;99;quiz;Тест 4.6. Объекты и массивы
9151;99;resource;Лабораторная работа №2. Массивы в JavaScript
6959;99;label;4.8. Использование исключений в JavaScript
8755;99;videofile;Урок 7.1
8813;99;videofile;Урок 7.2
7020;99;resource;Урок 7. Исключения
8797;99;resource;Урок 7. Исключения
6974;99;resource;Лекция 7. Использование исключений в JavaScript
6973;99;resource;Лекция 7. Использование исключений в JavaScript
8670;99;quiz;Тест 4.7. Исключения
6960;99;label;4.9. Функции
9025;99;videofile;Урок 8.1
9132;99;videofile;Урок 8.2
9133;99;videofile;Урок 8.3
7110;99;resource;Лекция 8. Функции
8801;99;resource;Лекция 8. Функции
6976;99;resource;Лекция 8. Функции
6975;99;resource;Лекция 8. Функции
6983;99;quiz;Тест 4.8. Функции
6961;99;label;4.10. Классы и прототипы
9074;99;videofile;Урок 9.1
9149;99;videofile;Урок 9.2
7792;99;resource;Лекция 9. Классы и прототипы
8803;99;resource;Лекция 9. Классы и прототипы
7793;99;resource;Лекция 9. Классы и прототипы
7791;99;resource;Лекция 9. Классы и прототипы
8717;99;quiz;Тест 4.9. Классы и прототипы
6962;99;label;4.11. Регулярные выражения в JavaScript
9148;99;videofile;Урок 10.1
9137;99;videofile;Урок 10.2
9138;99;videofile;Урок 10.3
9139;99;videofile;Урок 10.4
7823;99;resource;Лекция 10. Регулярные выражения
8804;99;resource;Лекция 10. Регулярные выражения
6981;99;resource;Лекция 10. Регулярные выражения
6980;99;resource;Лекция 10. Регулярные выражения
8663;99;quiz;Тест 4.10. Регулярные выражения
9152;99;resource;Лабораторная работа №3. Регулярные выражения в JavaScript
99;99;course;Информатика. Часть 1: Теоретические разделы
