id;courseid;type;name
6555;99;label;Знакомство с курсом
7051;99;videofile;Промо ролик
26527;99;url;Промо ролик на youtube
29612;99;url;Как пройти курс (видеоинструкция)
9378;99;resource;Тематическая структура курса
10544;99;book;ОПИСАНИЕ КУРСА ИНФОРМАТИКА-1
9379;99;resource;Тематическая структура курса с длительностью видеоуроков
5631;99;forum;Объявления
5852;99;forum;Обратная связь
6944;99;folder;Сценарий ролика о курсе
5978;99;folder;Материалы для разработчиков
5841;99;page;Аннотация курса
11210;99;simplecertificate;Сертификат об окончании обучения
40553;99;simplecertificate;Сертификат об окончании обучения (НГТУ)
8000;99;label;Тема 1.1. Основные понятия информатики
8555;99;videofile;Тема 1.1. Основные понятия информатики (ВИДЕО)
26528;99;url;Тема 1.1. Основные понятия информатики (Видеолекция)
7912;99;quiz;Тема 1.1. Основные понятия информатики (ТЕСТ)
7910;99;resource;Тема 1.1. Основные понятия информатики (ПРЕЗЕНТАЦИЯ)
7911;99;resource;Тема 1.1. Основные понятия информатики (ТЕКСТ ЛЕКЦИИ)
6554;99;label;Тема 1.2. Характеристики информации
8556;99;videofile;Тема 1.2. Характеристики информации (ВИДЕО)
26529;99;url;Тема 1.2. Характеристики информации (Видеолекция)
6433;99;quiz;Тема 1.2. Характеристики информатики (ТЕСТ)
7712;99;resource;Тема 1.2. Характеристики информации (ПРЕЗЕНТАЦИЯ)
7711;99;resource;Тема 1.2. Характеристики информации (ТЕКСТ ЛЕКЦИИ)
6556;99;label;Тема 1.3. Арифметические основы построения компьют...
8578;99;videofile;Тема 1.3. Арифметические основы построения компьютеров (ВИДЕО)
6437;99;quiz;Тема 1.3. Арифметические основы построения  компьютеров (ТЕСТ)
8075;99;resource;Тема 1.3. Арифметические основы построения компьютеров (ПРЕЗЕНТАЦИЯ)
7829;99;resource;Тема 1.3. Арифметические основы построения компьютеров (ТЕКСТ ЛЕКЦИИ)
6557;99;label;Тема 1.4. Логические основы построения компьютеров
8700;99;videofile;Тема 1.4.1. Логические операции. Ч. 1 (ВИДЕО)
9171;99;videofile;Тема 1.4.1. Логические операции. Ч. 2 (ВИДЕО)
8623;99;quiz;Тема 1.4.1. Логические операции (ТЕСТ)
